paper_id	0	1	2	3	4	5	6	decision
tDirSp3pczB	6.0	8.0	6.0	8.0	6.0			Reject
YDud6vPh2V	5.0	5.0	5.0	5.0				Reject
xZ6H7wydGl	5.0	5.0	6.0					Accept (Poster)
CNY9h3uyfiO	5.0	6.0	3.0	3.0				Reject
fXHl76nO2AZ	8.0	6.0	6.0	6.0				Accept (Poster)
bglU8l_Pq8Q	6.0	5.0	6.0	3.0				Reject
cU8rknuhxc	8.0	8.0	8.0	6.0				Accept (Spotlight)
HFPTzdwN39	8.0	5.0	3.0	6.0				Accept (Poster)
EJKLVMB_9T	8.0	6.0	5.0	5.0				Reject
MWQCPYSJRN	6.0	5.0	5.0	3.0				Reject
8CEJlHbKoP4	3.0	5.0	6.0	5.0				Reject
WVX0NNVBBkV	8.0	8.0	6.0	6.0				Accept (Poster)
74x5BXs4bWD	8.0	6.0	5.0	6.0				Accept (Poster)
4tOrvK-fFOR	6.0	5.0	6.0	6.0				Reject
xFOyMwWPkz	8.0	6.0	5.0	6.0				Accept (Poster)
gPvB4pdu_Z	6.0	8.0	8.0					Accept (Spotlight)
Eot1M5o2Zy	1.0	6.0	1.0	1.0				Reject
rxF4IN3R2ml	5.0	5.0	6.0					Reject
jJOjjiZHy3h	8.0	6.0	6.0	6.0				Accept (Poster)
Jjcv9MTqhcq	6.0	5.0	6.0	6.0				Accept (Poster)
9jsZiUgkCZP	5.0	8.0	6.0					Accept (Poster)
Ve0Wth3ptT_	6.0	6.0	8.0	6.0				Accept (Poster)
aYSlxlHKEA	5.0	5.0	5.0					Reject
buSCIu6izBY	3.0	1.0	3.0					Reject
CC-BbehJKTe	3.0	1.0	3.0	3.0				Reject
AUszBTiYBB6	3.0	3.0	3.0					Reject
7gWSJrP3opB	8.0	8.0	8.0	8.0				Accept (Spotlight)
04pGUg0-pdZ	6.0	8.0	8.0	6.0	6.0			Accept (Spotlight)
B2pZkS2urk_	3.0	5.0	3.0	3.0				Reject
iMqTLyfwnOO	6.0	6.0	6.0	6.0				Accept (Poster)
yx_uIzoHJv	3.0	3.0	3.0	5.0				Reject
4pijrj4H_B	6.0	8.0	6.0	3.0				Reject
vh-0sUt8HlG	8.0	6.0	5.0					Accept (Poster)
0rjx6jy25R4	5.0	1.0	5.0	5.0				Reject
7B3IJMM1k_M	6.0	6.0	6.0	8.0				Accept (Poster)
k7efTb0un9z	6.0	6.0	6.0	8.0	6.0			Accept (Poster)
hcoswsDHNAW	8.0	8.0	5.0	5.0				Accept (Poster)
QKEkEFpKBBv	3.0	3.0	3.0	3.0				Reject
AsyICRrQ7Lp	3.0	5.0	1.0	5.0				Reject
lQI_mZjvBxj	6.0	6.0	8.0	3.0				Accept (Poster)
OWZVD-l-ZrC	5.0	6.0	6.0	6.0				Accept (Poster)
ghTlLwlBS-	5.0	3.0	6.0	5.0				Reject
aq6mqSkwApo	6.0	5.0	3.0					Reject
eMudnJsb1T5	8.0	6.0	10.0	8.0				Accept (Spotlight)
VNdFPD5wqjh	6.0	5.0	3.0	8.0				Reject
_j4hwbj6Opj	3.0	3.0	3.0	5.0				Reject
iEvAf8i6JjO	8.0	8.0	6.0	3.0				Accept (Spotlight)
ptZfV8tJbpe	5.0	3.0	3.0	3.0	6.0			Reject
wQStfB93RZZ	5.0	6.0	5.0	5.0				Reject
W9G_ImpHlQd	8.0	8.0	8.0	8.0				Accept (Spotlight)
l431c_2eGO2	5.0	6.0	5.0	3.0	6.0			Reject
z3Tf4kdOE5D	5.0	3.0	5.0	3.0				Reject
a34GrNaYEcS	6.0	8.0	6.0	8.0				Accept (Poster)
izvwgBic9q	5.0	3.0	8.0					Accept (Poster)
7pZiaojaVGU	5.0	6.0	5.0	5.0	3.0			Reject
30SXt3-vvnM	3.0	6.0	3.0	6.0				Reject
WxuE_JWxjkW	6.0	8.0	3.0	8.0				Accept (Poster)
MvO2t0vbs4-	6.0	6.0	6.0					Accept (Poster)
IptBMO1AR5g	5.0	3.0	8.0	5.0				Reject
NuzF7PHTKRw	6.0	5.0	6.0	6.0				Reject
zuDmDfeoB_1	5.0	5.0	6.0	5.0				Reject
4Muj-t_4o4	3.0	6.0	6.0	8.0				Accept (Poster)
m5EBN92vjN	1.0	3.0	1.0	1.0				Reject
mqIeP6qPvta	8.0	3.0	6.0	5.0				Reject
JXSZuWSPH85	6.0	3.0	5.0					Reject
D78Go4hVcxO	8.0	8.0	5.0	8.0				Accept (Spotlight)
8QE3pwEVc8P	8.0	6.0	5.0	5.0				Reject
reFFte7mA0F	5.0	8.0	5.0					Reject
IsHQmuOqRAG	3.0	5.0	5.0	8.0				Reject
fCSq8yrDkc	3.0	6.0	6.0	6.0				Accept (Poster)
vfsRB5MImo9	3.0	6.0	6.0	8.0				Accept (Poster)
kSwqMH0zn1F	6.0	6.0	6.0	6.0				Accept (Poster)
gFDFKC4gHL4	6.0	6.0	8.0	6.0				Accept (Poster)
d2TT6gK9qZn	6.0	3.0	5.0	8.0				Accept (Poster)
_PHymLIxuI	6.0	6.0	5.0	8.0				Accept (Poster)
Xg47v73CDaj	5.0	5.0	5.0	5.0				Reject
oxC2IBx8OuZ	8.0	3.0	8.0	3.0				Reject
ULfq0qR25dY	8.0	6.0	6.0	6.0				Accept (Poster)
KTPuIsx4pmo	8.0	8.0	8.0	6.0				Accept (Poster)
jJWK09skiNl	3.0	3.0	1.0	1.0	1.0			Reject
bUAdXW8wN6	8.0	3.0	3.0	5.0				Reject
j-63FSNcO5a	6.0	6.0	8.0	8.0				Accept (Poster)
L1L2G43k14n	6.0	5.0	5.0	3.0	3.0			Reject
yV4_fWe4nM	6.0	5.0	3.0	5.0				Reject
9rKTy4oZAQt	6.0	5.0	6.0	5.0				Reject
lY0-7bj0Vfz	5.0	5.0	8.0					Accept (Poster)
R8sQPpGCv0	8.0	8.0	6.0	8.0				Accept (Poster)
EHaUTlm2eHg	8.0	6.0	6.0	6.0				Accept (Poster)
Fj1Tpym9KxH	5.0	5.0	5.0	8.0				Reject
k7-s5HSSPE5	6.0	6.0	6.0	6.0				Accept (Poster)
SVwbKmEg7M	5.0	5.0	6.0	3.0				Reject
nK7eZEURiJ4	5.0	3.0	3.0	1.0				Reject
SvFQBlffMB	5.0	5.0	6.0	5.0				Reject
uVXEKeqJbNa	8.0	6.0	6.0	6.0				Accept (Poster)
sTNHCrIKDQc	8.0	6.0	8.0					Accept (Poster)
